Competition,Matchday,Date,Time,Home Team,Ranking Home Team,Away Team,Ranking Away Team,Attendance,Result,Weather,Temperature (°C)
Jupiler Pro League,1,Sat 27/07/19,8:30 PM,Waasland-Beveren,(16.),Club Brugge,(1.),5.229,1:3,None,None
Jupiler Pro League,2,Fri 02/08/19,8:30 PM,Club Brugge,(2.),Sint-Truiden,(12.),24.600,6:0,Clear or mostly clear,18.9
UEFA Champions League Qualifying,3rd round 1st leg,Tue 06/08/19,8:30 PM,Club Brugge,,Dynamo Kyiv,,27.018,1:0,Drizzle,20.7
Jupiler Pro League,3,Sat 10/08/19,6:00 PM,KV Oostende,(5.),Club Brugge,(1.),5.487,0:2,None,None
UEFA Champions League Qualifying,3rd round 2nd leg,Tue 13/08/19,7:30 PM,Dynamo Kyiv,,Club Brugge,,42.152,3:3,None,None
Jupiler Pro League,4,Fri 16/08/19,8:30 PM,Club Brugge,(1.),KAS Eupen,(15.),27.000,0:0,Partly cloudy,20.2
UEFA Champions League Qualifying,Qualifying Round 1st leg,Tue 20/08/19,9:00 PM,LASK,,Club Brugge,,14.000,0:1,None,None
UEFA Champions League Qualifying,Qualifying Round 2nd leg,Wed 28/08/19,9:00 PM,Club Brugge,,LASK,,25.319,2:1,Partly cloudy,19.7
Jupiler Pro League,6,Sun 01/09/19,2:30 PM,Club Brugge,(3.),Genk,(6.),27.774,1:1,Clear or mostly clear,18.1
Jupiler Pro League,7,Sat 14/09/19,8:30 PM,Cercle Brugge,(14.),Club Brugge,(3.),12.120,0:2,Partly cloudy,15.6
UEFA Champions League,Group A,Wed 18/09/19,6:55 PM,Club Brugge,,Galatasaray,,26.616,0:0,Clear or mostly clear,15.4
Jupiler Pro League,8,Sun 22/09/19,6:00 PM,Club Brugge,(3.),RSC Anderlecht,(13.),26.243,2:1,Drizzle,18.3
Croky Cup,Sixth Round,Wed 25/09/19,8:30 PM,Francs Borains,,Club Brugge,,5.000,0:3,None,None
Jupiler Pro League,9,Sat 28/09/19,6:00 PM,KV Mechelen,(6.),Club Brugge,(3.),15.251,0:5,Clear or mostly clear,16.8
UEFA Champions League,Group A,Tue 01/10/19,6:55 PM,Real Madrid,,Club Brugge,,65.112,2:2,None,None
Jupiler Pro League,10,Sun 06/10/19,2:30 PM,Club Brugge,(1.),KAA Gent,(4.),24.382,4:0,Drizzle,15.0
Jupiler Pro League,11,Fri 18/10/19,8:30 PM,Mouscron,(8.),Club Brugge,(1.),8.500,0:1,None,None
UEFA Champions League,Group A,Tue 22/10/19,9:00 PM,Club Brugge,,PSG,,26.946,0:5,Partly cloudy,7.3
Jupiler Pro League,12,Sun 27/10/19,2:30 PM,Club Brugge,(1.),Standard Liège,(2.),25.400,1:1,Partly cloudy,11.4
Jupiler Pro League,13,Wed 30/10/19,8:30 PM,Zulte Waregem,(7.),Club Brugge,(1.),11.000,0:2,Partly cloudy,6.2
Jupiler Pro League,14,Sat 02/11/19,8:30 PM,Club Brugge,(1.),KV Kortrijk,(11.),21.539,3:0,Drizzle,11.5
UEFA Champions League,Group A,Wed 06/11/19,9:00 PM,PSG,,Club Brugge,,47.418,1:0,None,None
Jupiler Pro League,15,Sun 10/11/19,2:30 PM,Royal Antwerp,(4.),Club Brugge,(1.),14.750,2:1,Clear or mostly clear,8.7
Jupiler Pro League,16,Fri 22/11/19,8:30 PM,Club Brugge,(1.),KV Oostende,(14.),21.307,2:0,Partly cloudy,6.9
UEFA Champions League,Group A,Tue 26/11/19,6:55 PM,Galatasaray,,Club Brugge,,34.500,1:1,None,None
Jupiler Pro League,17,Sat 30/11/19,6:00 PM,Club Brugge,(1.),Mouscron,(9.),19.827,1:0,Clear or mostly clear,3.7
Croky Cup,Round of 16,Wed 04/12/19,8:00 PM,KV Oostende,,Club Brugge,,6.004,3:5on pens,None,None
Jupiler Pro League,18,Sat 07/12/19,8:30 PM,Sint-Truiden,(9.),Club Brugge,(1.),7.000,1:2,Partly cloudy,7.1
UEFA Champions League,Group A,Wed 11/12/19,9:00 PM,Club Brugge,,Real Madrid,,27.308,1:3,Clear or mostly clear,4.9
Jupiler Pro League,19,Sun 15/12/19,6:00 PM,Club Brugge,(1.),KV Mechelen,(7.),27.404,3:0,Clear or mostly clear,7.7
Croky Cup,Quarter-Finals,Thu 19/12/19,8:45 PM,RSC Anderlecht,,Club Brugge,,20.000,0:2,Partly cloudy,13.7
Jupiler Pro League,20,Sun 22/12/19,2:30 PM,KAA Gent,(4.),Club Brugge,(1.),19.999,1:1,Drizzle,9.2
Jupiler Pro League,21,Thu 26/12/19,6:00 PM,Club Brugge,(1.),Zulte Waregem,(6.),27.408,4:0,Drizzle,5.6
Jupiler Pro League,22,Sun 19/01/20,6:00 PM,RSC Anderlecht,(9.),Club Brugge,(1.),20.000,1:2,Clear or mostly clear,4.8
Croky Cup,Semi-Finals 1st Leg,Wed 22/01/20,8:45 PM,Club Brugge,,Zulte Waregem,,19.632,1:1,Partly cloudy,3.6
Jupiler Pro League,23,Sun 26/01/20,6:00 PM,KV Kortrijk,(12.),Club Brugge,(1.),9.399,2:2,None,None
Jupiler Pro League,5,Wed 29/01/20,8:30 PM,R Charleroi SC,(11.),Club Brugge,(1.),12.090,0:0,Partly cloudy,5.5
Jupiler Pro League,24,Sun 02/02/20,2:30 PM,Club Brugge,(1.),Royal Antwerp,(3.),27.000,1:0,Partly cloudy,13.0
Croky Cup,Semi-Finals 2nd Leg,Wed 05/02/20,8:45 PM,Zulte Waregem,,Club Brugge,,10.363,1:2,Partly cloudy,5.8
Jupiler Pro League,25,Wed 12/02/20,8:30 PM,Standard Liège,(5.),Club Brugge,(1.),27.145,0:0,Clear or mostly clear,3.8
Jupiler Pro League,26,Sat 15/02/20,6:00 PM,Club Brugge,(1.),Waasland-Beveren,(15.),26.771,2:1,Partly cloudy,13.1
UEFA Europa League,intermediate stage 1st leg,Thu 20/02/20,6:55 PM,Club Brugge,,Man Utd,,27.006,1:1,Drizzle,9.6
Jupiler Pro League,27,Sun 23/02/20,2:30 PM,Club Brugge,(1.),R Charleroi SC,(3.),27.039,1:0,Partly cloudy,12.5
UEFA Europa League,intermediate stage 2nd leg,Thu 27/02/20,9:00 PM,Man Utd,,Club Brugge,,70.397,5:0,None,None
Jupiler Pro League,28,Sun 01/03/20,2:30 PM,Genk,(6.),Club Brugge,(1.),21.897,1:2,Drizzle,9.1
Jupiler Pro League,29,Sat 07/03/20,8:00 PM,Club Brugge,(1.),Cercle Brugge,(14.),,2:1,Partly cloudy,8.1
Croky Cup,Final,Sat 01/08/20,8:30 PM,Club Brugge,,Royal Antwerp,,,0:1,Clear or mostly clear,20.4
Jupiler Pro League,1,Sat 08/08/20,4:30 PM,Club Brugge,(1.),R Charleroi SC,(13.),x,0:1,Partly cloudy,30.7
Jupiler Pro League,2,Sun 16/08/20,4:00 PM,KAS Eupen,(11.),Club Brugge,(16.),x,0:4,None,None
Jupiler Pro League,3,Sun 23/08/20,4:00 PM,Club Brugge,(7.),Beerschot VA,(1.),x,0:1,Drizzle,19.2
Jupiler Pro League,4,Sun 30/08/20,1:30 PM,Genk,(6.),Club Brugge,(11.),x,1:2,Partly cloudy,19.1
Jupiler Pro League,5,Sat 12/09/20,8:45 PM,Club Brugge,(5.),Waasland-Beveren,(15.),9.200,4:1,Partly cloudy,17.4
Jupiler Pro League,6,Sun 20/09/20,1:30 PM,Zulte Waregem,(9.),Club Brugge,(5.),3.900,0:6,Partly cloudy,22.8
Jupiler Pro League,7,Sun 27/09/20,6:15 PM,Club Brugge,(3.),Cercle Brugge,(7.),9.500,2:1,Partly cloudy,16.3
Jupiler Pro League,8,Sun 04/10/20,1:30 PM,Club Brugge,(2.),RSC Anderlecht,(5.),9.000,3:0,Drizzle,12.4
Jupiler Pro League,9,Sat 17/10/20,8:45 PM,Standard Liège,(3.),Club Brugge,(2.),10.000,1:1,Partly cloudy,8.7
UEFA Champions League,Group F,Tue 20/10/20,6:55 PM,Zenit S-Pb,,Club Brugge,,16.682,1:2,None,None
Jupiler Pro League,10,Sat 24/10/20,8:45 PM,OH Leuven,(7.),Club Brugge,(1.),x,2:1,Partly cloudy,14.7
UEFA Champions League,Group F,Wed 28/10/20,9:00 PM,Club Brugge,,Lazio,,x,1:1,Rainy,10.1
Jupiler Pro League,11,Sat 31/10/20,8:45 PM,Club Brugge,(2.),KV Mechelen,(16.),x,2:2,Drizzle,15.0
UEFA Champions League,Group F,Wed 04/11/20,9:00 PM,Club Brugge,,Dortmund,,x,0:3,Clear or mostly clear,7.0
Jupiler Pro League,12,Sun 08/11/20,4:00 PM,KV Oostende,(10.),Club Brugge,(4.),x,1:3,None,None
Jupiler Pro League,13,Sat 21/11/20,8:45 PM,Club Brugge,(1.),KV Kortrijk,(9.),x,1:0,Partly cloudy,10.3
UEFA Champions League,Group F,Tue 24/11/20,9:00 PM,Dortmund,,Club Brugge,,x,3:0,None,None
Jupiler Pro League,14,Sat 28/11/20,8:45 PM,Mouscron,(18.),Club Brugge,(1.),x,0:0,None,None
UEFA Champions League,Group F,Wed 02/12/20,9:00 PM,Club Brugge,,Zenit S-Pb,,x,3:0,Partly cloudy,5.6
Jupiler Pro League,15,Sat 05/12/20,8:45 PM,Club Brugge,(3.),Sint-Truiden,(17.),x,1:0,Partly cloudy,3.1
UEFA Champions League,Group F,Tue 08/12/20,6:55 PM,Lazio,,Club Brugge,,x,2:2,None,None
Jupiler Pro League,16,Sun 13/12/20,1:30 PM,Royal Antwerp,(4.),Club Brugge,(2.),x,0:2,Partly cloudy,6.5
Jupiler Pro League,18,Thu 17/12/20,8:45 PM,KV Mechelen,(16.),Club Brugge,(2.),x,0:3,Clear or mostly clear,7.8
Jupiler Pro League,17,Sun 20/12/20,1:30 PM,Club Brugge,(1.),KAA Gent,(12.),x,0:1,Partly cloudy,9.4
