Competition,Matchday,Time,Home Team,Ranking Home Team,Away Team,Ranking Away Team,Attendance,Weather,Temperature (°C),Date,Weekday,Month,Year,Season,quarter,Stadium,Max Capacity,City,Province,Full Roof,PercentageAttendance,GDP_Real_lagQ,CPI_QoQ_Growth_%_lagQ,Employment_Rate_%_lagQ,Home Team Goals Scored,Away Team Goals Scored,Match Type,Home Team Outcome,Away Team Outcome,Day,Goals Scored in Last 5 Games,Goals Conceded in Last 5 Games,Number of Wins in Last 5 Games
Jupiler Pro League,1,20.0,Genk,7,KV Kortrijk,11,16120,Partly cloudy,30.0,2019-07-26,Friday,7,2019,2019/2020,3,Cegeka Arena,23500.0,Genk,LIM,1.0,0.6859574468085107,102579.3,0.3594028383608849,65.6,2,1,Normal Time,Win,Loss,26,8.0,4.0,2.0
Jupiler Pro League,1,18.0,Cercle Brugge,14,Standard Liège,5,4311,Drizzle,18.9,2019-07-27,Saturday,7,2019,2019/2020,3,Jan Breydel Stadion,29062.0,Bruges,VWV,0.0,0.1483380359231987,102579.3,0.3594028383608849,65.6,0,2,Normal Time,Loss,Win,27,5.0,18.0,0.0
Jupiler Pro League,1,20.0,Zulte Waregem,9,KV Mechelen,6,7033,Drizzle,18.7,2019-07-27,Saturday,7,2019,2019/2020,3,Regenboogstadion,12400.0,Waregem,WVL,0.0,0.5671774193548387,102579.3,0.3594028383608849,65.6,0,2,Normal Time,Loss,Win,27,13.0,11.0,3.0
Jupiler Pro League,1,20.0,Sint-Truiden,12,Mouscron,10,4338,Rainy,19.4,2019-07-27,Saturday,7,2019,2019/2020,3,Stayen,14600.0,Sint-Truiden,LIM,1.0,0.29712328767123286,102579.3,0.3594028383608849,65.6,0,1,Normal Time,Loss,Win,27,7.0,8.0,1.0
Jupiler Pro League,1,18.0,R Charleroi SC,3,KAA Gent,2,8760,Drizzle,19.4,2019-07-28,Sunday,7,2019,2019/2020,3,Stade du Pays de Charleroi,15000.0,Charleroi,WHT,0.0,0.584,102579.3,0.3594028383608849,65.6,1,1,Normal Time,Draw,Draw,28,11.0,4.0,4.0
Jupiler Pro League,1,14.0,RSC Anderlecht,8,KV Oostende,15,19000,Partly cloudy,18.1,2019-07-28,Sunday,7,2019,2019/2020,3,Lotto Park,22500.0,Anderlecht (Brussels),BRU,1.0,0.8444444444444444,102579.3,0.3594028383608849,65.6,1,2,Normal Time,Loss,Win,28,5.0,6.0,1.0
Jupiler Pro League,2,20.0,Club Brugge,2,Sint-Truiden,12,24600,Clear or mostly clear,18.9,2019-08-02,Friday,8,2019,2019/2020,3,Jan Breydel Stadion,29062.0,Bruges,VWV,0.0,0.8464661757621637,102579.3,0.3594028383608849,65.6,6,0,Normal Time,Win,Loss,2,8.0,6.0,4.0
Jupiler Pro League,2,18.0,Standard Liège,3,Zulte Waregem,14,25778,Partly cloudy,21.0,2019-08-03,Saturday,8,2019,2019/2020,3,Stade Maurice Dufrasne,27670.0,Liège,LIE,0.0,0.9316226960607156,102579.3,0.3594028383608849,65.6,4,0,Normal Time,Win,Loss,3,8.0,7.0,1.0
Jupiler Pro League,2,20.0,KV Mechelen,4,Genk,5,15072,Partly cloudy,20.9,2019-08-03,Saturday,8,2019,2019/2020,3,AFAS Stadion,16500.0,Mechelen,ANT,0.0,0.9134545454545454,102579.3,0.3594028383608849,65.6,3,1,Normal Time,Win,Loss,3,5.0,5.0,0.0
Jupiler Pro League,2,14.0,KAA Gent,8,KAS Eupen,16,17780,Partly cloudy,25.7,2019-08-04,Sunday,8,2019,2019/2020,3,Ghelamco Arena,20000.0,Ghent,VOV,1.0,0.889,102579.3,0.3594028383608849,65.6,6,1,Normal Time,Win,Loss,4,10.0,7.0,3.0
